Id,Type,Name,Description,Priority,Status,Date,Deadline
1.2.9.20,Checklist,"10.2 Payoneer bank (EXTRA)",,,,,
1.2.9.21,Checklist,"9.8 Hiring a COO & CFO (EXTRA)",,,,,
1.2.9.22,Checklist,"1.3 Set your expectations (EXTRA)",,,,,
1.2.23,Task,"Ask about PayPal","",2,,,
1.2.24,Task,"Посмотреть видео про wetracked, создание кампании. Трекер прибыли?. Сформулировать и задать вопросы","",2,,,
1.2.25,Task,"","",2,,,
1.2.26,Project,"GMC","<br>",,,,
1.2.26.27,Task,"При регистрации следующего магазина вычистить гугловский код","",2,,,
1.2.26.28,Task,"Сделать подсвечивающиеся пункты меню и лого посередине","",2,,,
1.2.26.29,Task,"Зарегистрировать 3-4 новых домена","",2,,,
1.2.26.30,Task,"Сделать список доменов и порядок их запуска","",2,,,
1.2.26.31,Task,"Изучить историю отказов","",1,,,
1.2.26.32,Project,"DK Store Havgaard Kobenhavn","",,,,
1.2.26.32.33,Task,"Понять, надо ли продолжать: посчитать количество отзывов для исправления ситуации","",2,,,
1.2.26.32.34,Task,"Выяснить, за что списали ГуглЭдс","",2,,,
1.2.26.32.35,Task,"Купить отзывы Trustpilot","",2,,,
1.2.26.32.36,Task,"havgaard-kobenhavn.dk Expires OnFeb 22, 2027","",2,,0000-09-17T11:00:00,
1.2.26.32.37,Task,"Вернуть деньги Google Ads","",2,,,
1.2.26.32.38,Task,"Поставить шопифай на паузу ","",2,,,
1.2.26.39,Project,"CH Store Marc et Francois","",,,,
1.2.26.39.40,Task,"Добавить анимацию меню","",2,,,
1.2.26.39.41,Task,"поменять фото 1018, 1019Order quantity*3Product link: https://qff1md-0e.myshopify.com/products/damen-maxikleid-blumen-v-ausschnitt?variant=56964852187468Similar model: Similar styles are not double layered.","",2,,,
1.2.26.42,Project,"US Store Charlie and Ted","",,,,
1.2.26.42.43,Task,"Добиться пересмотра оценки и сделать чеклист (Написать на сайт скам адвайзер)","[{""insert"":""[28.04.26 13:19] Kazzzenka: Наш путь был такой: \n1. Леннокс сказал запросить у них expert analisis за 17 евро.\n2. мы заказали, там ждать надо 2-4 дня\n3. они не писали ничего по этому поводу, я начала их пушить + прошла businnes verification (кнопки под результатом проверки)\n4. и одновременно с этим я начала им писать каждый день письма с причиной, почему должны улучшить trust score (наша причины - мы купили этот магазин и изменили подход к работе) \n5. через время они в письмах запросили документы (выше от них письмо), я отправила и продолжила пушить, потому что они пропадали на 5-7 дней \n\nвчера написали, что мы прошли верификацию и данные изменятся в течение 2х суток, сегодня уже скор 70\n[28.04.26 13:19] Kazzzenka: я бы пропустила 1 и 2 пункт, сразу вериф и писать можно им на почту ""},{""attributes"":{""link"":""mailto:report@scamadviser.com""},""insert"":""report@scamadviser.com""},{""insert"":""L\n""}]",2,,,
1.2.26.42.44,Task,"Написать в поддержку, что я хочу отказаться от домена Lymiko","",2,,,0000-03-29
1.2.26.42.45,Task,"Сделать новый GMC","",2,,,
1.2.26.42.46,Task,"Меняем домен","",2,,,
1.2.26.47,Project,"UK Store Oliver and Alder","",,,,
1.2.26.47.48,Task,"Заполнить PNL","",2,,,
1.2.26.47.49,Task,"Удалить GMC","",2,,,
1.2.26.47.50,Task,"Try to get money for PayPal order","",2,,,
1.2.26.47.51,Task,"Победить ошибку пропадания свотча","",2,,,
1.2.26.47.52,Task,"Добавить Серый в https://admin.shopify.com/store/redford-london/products/10299308278107","",2,,,
1.2.26.47.53,Task,"Добавить телефон","",2,,,
1.2.26.47.54,Task,"Добавить инстаграм на сайт и в GMC","",2,,,
1.2.26.47.55,Task,"Убедиться, что нотифаи пользователям приходят с нормального домена и разобраться, почему они видят Редфорд","",2,,,
1.2.26.47.56,Task,"Удалить GMC Oliver","",2,,,
1.2.26.47.56.57,Task,"Распланировать! Сделать поиск конкурентов для Швейцарии и США,","",2,,,
1.2.26.58,Project,"Store: Italy Linen GMC Planed","",,,,
1.2.26.58.59,Task,"Разработать новую схему отправок из Италии для GMC","",2,,,
1.2.26.58.60,Task,"Послать китайцам заново запрос на льняные вещи","",2,,,
1.61,Project,"AI learning","",,,,
1.61.62,Task,"Проанализировать, насколько целесообразно платить за горжиас или сделать свою собственную систему с рассылкой емейлов и обработкой тикетов?","",0,,,
1.61.63,Task,"Сделать шаблон правил для клода, для GPT","",2,,,
1.61.64,Task,"Посмотреть курс Алекса Крола","",2,,,
1.61.65,Task,"Сделать проект Контент-завод","",2,,,
1.61.65.66,Task,"Cделал контент-завод за 20 минут без n8n https://youtu.be/SdqAgqffkhk?si=8wGIS5SBm6GX28tO","",2,,,
1.61.67,Task,"Запустить приложение по переименованию","",2,,,
1.61.68,Task,"Accounting","",2,,,
1.61.68.69,Task,"Сделать автоматизацю вставки ссылок в таблицу","",2,,,
1.61.68.70,Task,"Сделать автоматизацию по распознаванию файлов и переименованию","",2,,,
1.61.71,Task,"Можно ли подключаться к VPS IP v6 и отказаться от использования IP v4(Разобраться с IP v.6 дома)","",2,,,
1.61.72,Task,"https://www.youtube.com/watch?v=N3UzxAyCyp4","",2,,,
1.61.73,Task,"https://www.youtube.com/watch?v=oS3kLEX9ShE","",2,,,
1.61.74,Task,"Сделать ассистента по видео https://www.youtube.com/watch?v=Mnwh74BXhNs&t=234s","",2,,,
1.61.75,Task,"https://www.youtube.com/watch?v=FqcdjmQP3v4","",2,,,
1.61.76,Task,"https://parakeettdt.com/#transcribe Можно ли установить на мобильный","",3,,,
1.61.77,Task,"Claude Code ДЛЯ НОВИЧКОВ https://youtube.com/watch?v=N3UzxAyCyp4&si=2aGA0e6rZ12kwV-z","",2,,,
1.61.78,Task,"Сервис название фотографии для мамы - телеграм бот","",2,,,
1.61.79,Task,"Спецагент для сайта + оркестратор агент над всеми","",2,,,
1.61.80,Task,"Изучить связку Обсидиан+Клод","",2,,,
1.61.81,Task,"Сделать ассистента по видео https://www.youtube.com/watch?v=kUNn6-ONJG8","",2,,,
1.61.82,Task,"Настроить агента жпт по подписке","",2,,,
1.61.83,Task,"Запрет байпасить правила Гитхаба","",2,,,
1.61.84,Task,"Сравнить клаудфлэйр и хетцнер","",2,,,
1.61.85,Task,"Записать в бэклог интеграцию с обсидиан, проверку задач на возможность автоматизации в н8н НА СВОЕМ СЕРВЕРЕ","",2,,,
1.61.86,Task,"Программа для подписи фотографий","",2,,,
1.61.87,Task,"Разработать систему управления письмами, конвертации их в задачи и контроля","",2,,,
1.61.88,Task," Добавить автоматизацию, которая будет отслеживать неотправленные товары","",1,,,
1.61.89,Task,"Сделать регулярную публикацию постов в инсте по магазинам","",2,,,
1.61.90,Task,"Установить Claude Mobile","",2,,,
1.61.91,Task,"Разработать правила для Гитхаба, чтобы ИИ не мог править правила и читал их на гитхабе? ","",2,,,
1.61.92,Project,"Автоматизация создания листингов","",,,,
1.61.92.93,Task,"https://youtube.com/watch?v=eXp8TC0Sm6o&si=K_XZZC3ip7ZW0AZ-","",2,,,
1.61.92.94,Task,"Сделать качественные исходники лиц моделей, узнать необходимое и достаточное разрешение и можно ли только лицо","",2,,,
1.61.92.95,Task,"разработать систему хранения данных по товарам/магазинам/срокам запкуска/вывода","",2,,,
1.61.92.96,Task,"Описать флоу Ресерч для GMC","",2,,,
1.61.97,Project,"Personal Assistant","",,,,
1.61.97.98,Task,"Синхронизировать файлы проекта с Гитхабом","",2,,,
1.61.97.99,Task,"Сделать связку Клод+Сингулярити+Почта, с контролем дедлайнов","",2,,,
1.100,Project,"Propria","",,,,
1.100.101,Task,"Сдать отчетность Propria","",1,,,
1.100.101.102,Task," Сделать список контрагентов, чтобы с ними разбираться про инвойсы","",0,,,
1.100.101.102.103,Task,"Запросить регистрационные документы у поставщиков","",0,,,
1.100.101.102.103.104,Checklist,"3PL",,,,,
1.100.101.102.103.105,Checklist,"AB",,,,,
1.100.101.102.103.106,Checklist,"Рекламные агентства",,,,,
1.100.101.107,Task,"Belege Revolut","",2,,,
1.100.101.108,Task,"Выписки и транзакции Wise","[{""insert"":""\n""}]",2,,,
1.100.101.108.109,Checklist,"2025-05",,,,,
1.100.101.108.110,Checklist,"2025-06",,,,,
1.100.101.108.111,Checklist,"2025-04",,,,,
1.100.101.108.112,Checklist,"2025-08",,,,,
1.100.101.108.113,Checklist,"2025-07",,,,,
1.100.101.114,Task,"Сделать список персональных расходов","",1,,,
1.100.101.115,Task,"Сделать транзакции и выписки по Revolut помесячно","",2,,,
1.100.101.115.116,Checklist,"08",,,+,,
1.100.101.115.117,Checklist,"06",,,+,,
1.100.101.115.118,Checklist,"07",,,+,,
1.100.101.115.119,Checklist,"04",,,+,,
1.100.101.115.120,Checklist,"05",,,+,,
1.100.101.121,Task,"Переслать Алле ордера клиентов","",1,,,
1.100.101.121.122,Task,"Casa Giannini","",2,,,
1.100.101.121.123,Task,"Havgaard Kobenhavn","",2,,,
1.100.101.124,Task,"Переслать Алле счета поставщиков","",1,,,
1.100.101.125,Task,"Belege Wise","",2,,,
1.100.126,Task,"Montly Checklist","",2,,,
1.100.126.127,Checklist,"Belege Revolut",,,,,
1.100.126.128,Checklist,"Частные Belege",,,,,
1.100.126.129,Checklist,"Сделать транзакции и выписки по Revolut",,,,,
1.100.126.130,Checklist,"Сделать транзакции и выписки по Wise",,,,,
1.100.126.131,Checklist,"Belege Wise",,,,,
1.100.126.132,Checklist,"Belege Commerznbank",,,,,
1.100.126.133,Checklist,"Сделать транзакции и выписки по Commerznbank",,,,,
1.100.134,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-10-12,
1.100.135,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0002-00-12,
1.100.136,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-11-12,
1.100.137,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-09-12,
1.100.138,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-08-12,
1.100.139,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-01-12,
1.100.140,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-02-12,
1.100.141,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-03-12,
1.100.142,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-04-12,
1.100.143,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-05-12,
1.100.144,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-06-12,
1.100.145,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-07-12,
1.100.146,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-08-12,
1.100.147,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-09-12,
1.100.148,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-10-12,
1.100.149,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0000-11-12,
1.100.150,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-00-12,
1.100.151,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-01-12,
1.100.152,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-02-12,
1.100.153,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-03-12,
1.100.154,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-04-12,
1.100.155,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-05-12,
1.100.156,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-06-12,
1.100.157,Task,"Узнать, сколько часов будет отработано в текущем месяце Аней","",2,,0001-07-12,
1.100.158,Task,"Оформить командировки во Францию, Грузию и Турцию","",2,,,
1.100.159,Task,"Запросить счета на  Propria Gmbh от Miles","",2,,,
1.100.160,Task,"Скачать счета:","",2,,,
1.100.160.161,Task,"dropship.io disterhfet.arpack@gmail.com","",2,,,
1.100.162,Task,"Отправить доки в Майлз, запросить переделать ВСЕ счета","",2,,,
1.100.163,Task,"Transparenzregister","",2,,,
1.100.164,Project,"Reporting","",,,,
1.100.164.165,Task,"Сделать чеклист по отчетам для Propria GmbH","",2,,,
1.100.164.165.166,Checklist,"Alla Dudnichenko1:06 PM (4 hours ago)to meИлья здравствуйте.Выложите на диск пожалуйста  выписки банка за сентябрь и октябрь как Вы ранее выкладывали в PDF формате.Банк WISE за июль-октябрь.Также отчеты shopify за август-октябрь.Спасибо.С уважением,Алла Дудниченко",,,,,
1.100.164.167,Task,"Автоматическая обработка выписок","",2,,,
1.168,Project,"Ecom","Заметка Еком<br>",,,,
1.168.169,Task,"Daily  Shopify  Checklist (Supplier, Ad Agency, Listers)","[{""insert"":""\n""}]",0,,,
1.168.169.170,Checklist,"Check GAds performing",,,,,
1.168.169.171,Checklist,"Pay other invoices",,,,,
1.168.169.172,Checklist,"Answer AB in Slack",,,,,
1.168.169.173,Checklist,"Receive Quotes for the new products form 3PL",,,,,
1.168.169.174,Checklist,"Pay the invoice form Advertising Agency",,,,,
1.168.169.175,Checklist,"Check and answer Gorgias",,,,,
1.168.169.176,Checklist,"Fill out Ads & PNL reports",,,,,
1.168.169.177,Checklist,"Pay the invoice form 3PL",,,,,
1.168.178,Task,"Сделать Weekly Checklist Shopify","",0,,,
1.168.179,Task,"Настроить систему учета Еком","",0,,,
1.168.180,Task,"Засетапить агента, который распознает видео, тексты и создает свою LLM https://youtube.com/watch?v=lLuOLGdIlYk&si=7-XZ0ptPezhTUhuQ","",1,,,
1.168.181,Task,"Добавить регулярную проверку работоспособности сайта","",2,,,
1.168.182,Task,"Связать Slack / WhatsApp","",2,,,
1.168.183,Task,"Добиться окончательного решения по инвойсам от Лотта","",2,,,
1.168.184,Task,"Навести порядок в файлах Ecom, Propria - перенести все в Propria","[{""attributes"":{""link"":""https://docs.google.com/spreadsheets/d/1IXm2g2RqmfvMPRDiCF9QfkA5XPNH5K7uBmWr4QW_e50/edit?gid=1531640555#gid=1531640555""},""insert"":""https://docs.google.com/spreadsheets/d/1IXm2g2RqmfvMPRDiCF9QfkA5XPNH5K7uBmWr4QW_e50/edit?gid=1531640555#gid=1531640555""},{""insert"":""\n""}]",2,,,
1.168.185,Task,"Заполнить файл Duties and Roles","",2,,,
1.168.185.186,Task,"Проанализировать и пометить то, что можно делегировать (Делегировать: контроль листингов, дизайн креативов, создание рекламных кампаний)","",2,,,
1.168.187,Task,"Change payment method for WETRACKED to Revolut","",2,,,
1.168.188,Task,"Проанализировать влияние изменения курса евро к доллару и придумать алгоритм пересчета. Можно ли косты вводить в долларах в трупрофите?","",2,,,
1.168.189,Task,"Понять, как делать АБ тестирование","",2,,,
1.168.190,Task,"Выписки из реестра по контрагентам","",2,,,
1.168.191,Task,"Разобраться, как происходит торговля с одного стора на 2 и более рынков с разными языками ","",2,,,
1.168.192,Task,"Отработать итальянских дропшипперов https://eprolo.com/de/italian-dropshipping-suppliers","",2,,,
1.168.193,Task,"Отработать https://www.procfit.at/#arbeiten","",2,,,
1.168.194,Task,"Добавить в чеклисты: еженедельные проверки флоу покупки вплоть до чекаута, еженедельные проверки статусов доставки","",2,,,
1.168.195,Task,"Cancel automatic renewal  Lymiko","",2,,,0000-06-29
1.168.196,Task,"Подумать, как сделать тайм-трекинг","[{""attributes"":{""bold"":true},""insert"":""Hubstaff""},{""insert"":"" — простой трекинг времени + скриншоты, без «жёсткого» слежения. Для одного ассистента-листера это оптимальный баланс «proof-of-work»/цена/настройки приватности.\nЕсли ассистент работает ""},{""attributes"":{""bold"":true},""insert"":""через Upwork""},{""insert"":"" — хватит их Work Diary, отдельный софт не нужен.""},{""attributes"":{""blockquote"":true},""insert"":""\n""},{""insert"":""Настройка (15 минут)""},{""attributes"":{""header"":3},""insert"":""\n""},{""insert"":""Создай проект ""},{""attributes"":{""bold"":true},""insert"":""Listings""},{""insert"":"" и пригласи ассистента.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Скриншоты:""},{""insert"":"" каждые ""},{""attributes"":{""bold"":true},""insert"":""10 минут""},{""insert"":"", с ""},{""attributes"":{""bold"":true},""insert"":""blur""},{""insert"":"". Live-видео и кейлоггинг — ""},{""attributes"":{""bold"":true},""insert"":""выключить""},{""insert"":"".""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Idle timeout:""},{""insert"":"" автопауза после ""},{""attributes"":{""bold"":true},""insert"":""3 минут""},{""insert"":"" бездействия.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Учёт URL/приложений:""},{""insert"":"" включить, но считать продуктивными только «белый список» (см. ниже).""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""График:""},{""insert"":"" фиксируй окно работы и оверлап. Рекомендую ""},{""attributes"":{""bold"":true},""insert"":""09:00–13:00 по Берлину""},{""insert"":"" (в Филиппинах это ""},{""attributes"":{""bold"":true},""insert"":""16:00–20:00 PHT""},{""insert"":""), остальное — асинхронно.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Ограничение часов:""},{""insert"":"" weekly cap, напр. ""},{""attributes"":{""bold"":true},""insert"":""30 ч/нед""},{""insert"":"".""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Права доступа:""},{""insert"":"" скриншоты видишь только ты; скачивание — off.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Хранение данных:""},{""insert"":"" ""},{""attributes"":{""bold"":true},""insert"":""30 дней""},{""insert"":"", дальше автоудаление.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Платёж:""},{""insert"":"" оплачиваешь только «tracked time».""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Экспорт отчёта:""},{""insert"":"" раз в пятницу выгрузка timesheet + ""},{""attributes"":{""link"":""tel:10–20""},""insert"":""10–20""},{""insert"":"" выборочных скринов.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""insert"":""«Белый список» продуктивности""},{""attributes"":{""header"":3},""insert"":""\n""},{""insert"":""Браузер: домены твоих площадок/CRM, Google Sheets/Docs, фотохостинг/сток, почта.""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""insert"":""Приложения: табличный редактор, простой графический редактор (Figma/PS/Canva — если нужны), мессенджер ТОЛЬКО для рабочих чатов.""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""insert"":""Всё остальное — «непродуктивно» (но без блокировок, просто для отчёта).""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""insert"":""Метрики и нормы (что реально двигать)""},{""attributes"":{""header"":3},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Листингов/час""},{""insert"":"": задай ориентир (например, ""},{""attributes"":{""bold"":true},""insert"":""6–10/ч""},{""insert"":"" для простых карточек; под свой процесс скорректируй).""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Медианное время на 1 листинг.""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Ошибка/правка ≤ X%""},{""insert"":"" (задай порог, напр. 3–5%).""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""attributes"":{""bold"":true},""insert"":""Еженедельный чек:""},{""insert"":"" ""},{""attributes"":{""link"":""https://10–20""},""insert"":""10–20""},{""insert"":"" скринов vs. готовые карточки + краткий разбор.""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""insert"":""Короткий SOP (копипаст для онбординга)""},{""attributes"":{""header"":3},""insert"":""\n""},{""insert"":""Запуск трекера только при работе над ""},{""attributes"":{""bold"":true},""insert"":""Listings""},{""insert"":"".""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""insert"":""Дневной апдейт до конца смены:""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""insert"":""«Итого часов / листингов / среднее мин/листинг / проблемы».""},{""attributes"":{""indent"":1,""list"":""bullet""},""insert"":""\n""},{""insert"":""Если пауза >3 мин — нажми ""},{""attributes"":{""bold"":true},""insert"":""Pause""},{""insert"":"".""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""insert"":""Никаких личных задач под трекером.""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""insert"":""Шаблон согласия (1 абзац)""},{""attributes"":{""header"":3},""insert"":""\n""},{""insert"":""Подтверждаю, что согласен(на) на учёт рабочего времени и периодические скриншоты экрана (раз в 10 минут, с размытием). Данные используются только для расчёта оплаты и контроля качества, хранятся 30 дней, доступ есть только у [Имя]. Кейлоггинга, скрытого наблюдения и записи видео нет.""},{""attributes"":{""blockquote"":true},""insert"":""\n""},{""insert"":""Если всё-таки через Upwork""},{""attributes"":{""header"":3},""insert"":""\n""},{""insert"":""Оставь ""},{""attributes"":{""bold"":true},""insert"":""Work Diary""},{""insert"":"" (≈6 скриншотов/час + активность). Настрой: manual time — off, limit часов/нед, ежедневные ноты к таймслотам.\nЮр./этика — без розовых очков""},{""attributes"":{""header"":3},""insert"":""\n""},{""insert"":""Ты в ЕС: нужна ""},{""attributes"":{""bold"":true},""insert"":""прозрачность и пропорциональность""},{""insert"":"". Наш набор (скриншоты раз в 10 мин, blur, без кейлоггинга, хранение 30 дней) укладывается в «минимально необходимое».""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""insert"":""Персональные данные уходят на Филиппины: фиксируй это в договоре (SCC/подобные положения) и ограничь доступ.""},{""attributes"":{""list"":""bullet""},""insert"":""\n""},{""insert"":""Хочешь — накину готовую Google Sheet для метрик и дневного апдейта + чек-лист недельного ревью.\n\n\n""}]",2,,,
1.168.197,Task,"Обновить счетчик продаж","",1,,,
1.168.198,Task,"Перенести все файлы на проприю","",2,,,
1.168.199,Task,"Найти DTC поставщиков из Европы/США","",2,,,
1.168.200,Task,"Принять решение, каким сервисом телефонов пользоваться. (Пополнить Задарма)","[{""insert"":""Source: ""},{""attributes"":{""link"":""https://t.me/ZadarmaBot""},""insert"":""ZadarmaBot""},{""insert"":""\n \n \n Уведомляем о том, что ваш баланс EUR0.8819.\n \n Пополните счет любым удобным способом в разделе Мой счет - Пополнить счет ""},{""attributes"":{""link"":""https://my.zadarma.com/pay/be465975b6e9a677ca53281dd6e7a2c51d9691f585a614c2c4e777732269a5a8/""},""insert"":""https://my.zadarma.com/pay/be465975b6e9a677ca53281dd6e7a2c51d9691f585a614c2c4e777732269a5a8/""},{""insert"":"". \n \n Изменить настройки уведомлений можно в личном кабинете сервиса.\n""}]",2,,,
1.168.201,Task,"Сделать счетчик шопифай","",2,,,
1.168.202,Task,"Понять, нужен ли мне http://drwoven.com","",2,,,
1.168.203,Task,"Настроить систему уведомлений пользователей по флоу товара с допродажами","",1,,,
1.168.204,Task,"Shopify weekly checklist добавить работу с бестселлерами и ежемесячный убой зомби -50 баланс батч +50","",2,,,
1.168.205,Project,"Store Australia","",,,,
1.168.206,Project," Listings","",,,,
1.168.206.207,Task,"Изучить инструменты HiggsField Soul для создания листингов","[{""insert"":""\n""}]",2,,,
1.168.206.207.208,Checklist,"Soul",,,,,
1.168.206.207.209,Checklist,"Krea",,,,,
1.168.206.207.210,Checklist,"Fluxcontent",,,,,
1.168.206.207.211,Checklist,"HiggsField",,,,,
1.168.212,Project,"Suppliers","",,,,
1.168.212.213,Task,"Настроить регулярные мероприятия по поставщику","",2,,,
1.168.212.214,Task,"Найти поставщика льняных изделий","",2,,,
1.168.215,Project,"HR","",,,,
1.168.216,Project,"Payment Solution","",,,,
1.168.216.217,Task,"Зарегистрировать UK компанию","",2,,,
1.168.216.218,Task,"Зарегистрироваться в Airwallex","",2,,,
1.168.219,Project,"Customer Support","",,,,
1.168.219.220,Task,"Сделать автоназначение тикетов на меня в Gorgias и не закрывать незакрытые тикеты (доп статус - в ожидании ответа?)","",2,,,
1.168.219.221,Task,"Разобраться с тем, как работает Gorgias и сделать автоматизацию","",2,,,
1.168.222,Project,"Supplements","",,,,
1.168.222.223,Task,"DS from Germany https://chancetobrand.de/en/#pricing","",0,,,
1.168.222.224,Task,"https://www.mindabolicslabs.com","",2,,,
1.168.225,Project,"Ideas","",,,,
1.168.225.226,Task,"https://bfstore.com.ua/?fbclid=PAQ0xDSwLlzc1leHRuA2FlbQIxMQABp_XQUBK79cxpyy9k_KeN7vk11uRfk_gEAcu3p_fnDhq1cjV6lAV_SJzQ5P4y_aem_D6M1jiKI2FFrn9RewZRYKg","",2,,,
1.168.225.227,Task,"https://www.instagram.com/reel/DKgv9k8vJrd/?igsh=aWp5NWF3bWE3NTUz","[{""insert"":""\n""}]",2,,,
1.168.225.228,Task,"Изучить условия https://www.procfit.at/","",2,,,
1.168.225.229,Task,"Изучить сайт https://modeee.com/","",2,,,
1.168.225.230,Task,"Сайт поизучать https://www.babyboofashion.com/en-eu/products/rosetta-maxi-dress-plum-brown","[{""insert"":""Сайт поизучать\n""}]",2,,,
1.168.231,Project,"Tik Tok","",,,,
1.168.231.232,Task,"Выбрать 2-3 товара для и сделать их на ТикТоке","",2,,,
1.168.231.233,Task,"https://youtube.com/watch?v=mU32P0RrfjU&si=ZSNVYlJay_Qa7bLs поиск продуктов","",2,,,
1.168.231.234,Project,"Products","",,,,
