domain	age	price	tf	sale	end	reason
gunmetalclothing.com	1	42.98	0	Buy Now	2026-05-28 18:52:00	apparel
brandboutique-sa.com	1	34.39	0	Buy Now	2026-05-28 18:55:00	apparel
blessthismessboutique.com	1	42.98	0	Buy Now	2026-05-28 17:12:00	apparel
wearvestra.com	1	34.39	0	Buy Now	2026-05-28 18:15:00	apparel
boutiquesfebz.com	1	9.46	0	Buy Now	2026-05-28 17:57:00	apparel
neurodiversewear.com	1	4.3	0	Buy Now	2026-05-28 18:50:00	apparel
fashionfreakus.com	1	4.3	0	Buy Now	2026-05-28 17:41:00	apparel
martisaboutique.com	1	25.79	0	Buy Now	2026-05-28 19:16:00	apparel
jaziahclothing.com	1	9.46	0	Buy Now	2026-05-28 18:22:00	apparel
maxitalianfashion.com	1	4.3	0	Buy Now	2026-05-28 19:03:00	apparel
wearpearofficial.com	1	25.79	0	Buy Now	2026-05-28 16:19:00	apparel
designerclothingsantarosa.com	1	34.39	0	Buy Now	2026-05-28 16:54:00	apparel
hoomancouture.com	1	34.39	0	Buy Now	2026-05-28 16:03:00	apparel
siluetwear.com	1	34.39	0	Buy Now	2026-05-28 16:24:00	apparel
absenceclothing.com	1	34.39	0	Buy Now	2026-05-28 16:27:00	apparel
